order,id,priority,source,frequency,category,question,answer,formula,followup,pitfalls,variants
55,c069,A,past,1,制御,ナイキスト安定判別法を説明してください。,開ループ伝達関数の右半平面極数Pと、ナイキスト線図が−1点を囲む回数Nから、閉ループの右半平面極数Zを関係づけて安定性を判定します。符号規約に注意し、Z=0なら安定です。,代表的規約: N=Z−P（反時計回り正など、教科書の規約を確認）,,囲み数の正負は規約で変わるため、P・Zとの関係を一貫して述べます。,
56,c071,A,past,1,制御,フィードフォワード制御とは何ですか？,目標値や測定可能な外乱から、モデルに基づいて必要な操作量を先回りして与える制御です。偏差が生じてから修正するのではなく、既知の影響を事前に補償します。,,通常はフィードバックと組み合わせて、速応性とロバスト性を両立します。,,
57,c073,A,past,1,制御,ボード線図とは何ですか？,周波数を対数軸に取り、伝達関数のゲインと位相を周波数ごとに描く図です。帯域、共振、ゲイン余裕、位相余裕などを読み取れます。,,,,
58,c004,A,past,1,数学・線形代数,実対称行列の固有値と固有ベクトルにはどんな性質がありますか？,実対称行列の固有値はすべて実数で、異なる固有値に属する固有ベクトルは互いに直交します。したがって直交行列で対角化できます。,"A=Aᵀ ⇒ QᵀAQ=D,  QᵀQ=I",,,
59,c005,A,past,1,数学・線形代数,ベクトルや行列の一次独立・一次従属とは何ですか？,ベクトル集合が一次独立とは、それらの線形結合が零ベクトルになる係数がすべて0の場合です。0でない係数の組が存在すれば一次従属です。,c₁v₁+…+cₙvₙ=0 ⇒ c₁=…=cₙ=0,正方行列では、列ベクトルが一次独立 ⇔ 行列式が0でない ⇔ 逆行列が存在します。,,
60,c007,A,past,1,数学・線形代数,線形変換で平面図形の面積はどう変わりますか？,2次元の線形変換Aを施すと、面積は |det A| 倍になります。行列式の符号は向きの反転、絶対値は面積倍率を表します。,S' = |det A| S,,,
61,c036,A,past,1,材料力学・設計,せん断力とせん断応力とは何ですか？,せん断力Vは、切断面に平行に働く内力の合力です。せん断応力τは、そのせん断力が断面内に分布した単位面積当たりの力です。,平均 τ=V/A,,せん断力はモーメントによって発生するもの、と限定しません。,
62,c038,A,past,1,材料力学・設計,真応力と公称応力の違いは何ですか？,公称応力は荷重を初期断面積で割り、真応力は荷重をその時点の実断面積で割ります。引張で断面が細くなると、通常は真応力の方が大きくなります。,"σ_n=P/A₀,  σ_t=P/A",,,
63,c041,A,past,1,材料力学・設計,応力と変位の関係を説明してください。,外力から内力・応力が生じ、材料の構成則により応力とひずみが関係し、ひずみを空間的に積分すると変位が得られます。線形弾性なら σ=Eε です。,"外力→応力,  σ=Eε,  ε=du/dx（1次元）",,,
64,c042,A,past,1,材料力学・設計,主応力とは何ですか？,ある点でせん断応力が0になる面に作用する垂直応力で、応力テンソルの固有値です。その面の法線方向が主方向です。,det(σ−λI)=0,,,
65,c043,A,past,1,材料力学・設計,不静定問題とは何ですか？,力とモーメントのつり合い式だけでは未知反力や内力を一意に決められず、変形の適合条件と材料の構成則も必要な問題です。,,,,
66,c045,A,past,1,材料力学・設計,寸法公差とは何ですか？,製作上許容される寸法のばらつきの範囲です。基準寸法に対する上の寸法許容差と下の寸法許容差で、最大許容寸法と最小許容寸法を定めます。,公差=最大許容寸法−最小許容寸法,,,
67,c028,A,past,1,機械力学・振動,角運動量の定義は何ですか？,質点では位置ベクトルrと運動量pの外積 L=r×p です。剛体では一般に L=Iω ですが、Lとωが平行とは限りません。,"L=r×p,  剛体: L=Iω",,Iw²は回転運動エネルギーの式と混同しています。回転エネルギーは(1/2)Iω²です。,
68,c032,A,past,1,機械力学・振動,ダンパにはどのような種類があり、どう数式表現しますか？,代表例は粘性ダンパ、クーロン摩擦、構造減衰です。粘性減衰力は速度に比例して F=−c ẋ、クーロン摩擦は運動方向と逆向きにほぼ一定で F=−F_c sgn(ẋ) です。,"粘性: F=−cẋ,  クーロン: F=−F_c sgn(ẋ)",,,
69,c033,A,past,1,機械力学・振動,片持ち梁の先端に打撃力を加えたときの振動とフーリエ解析の関係を説明してください。,短い打撃は広い周波数成分を含むインパルス入力とみなせます。入力と応答をフーリエ変換し、その比から周波数応答関数を求めると、固有振動数ではピークが現れます。,H(ω)=Y(ω)/F(ω),,,
70,c091,A,past,1,流体力学,ナビエ–ストークス方程式の右辺3項は何を表しますか？,−∇pは圧力による力、μ∇²uは粘性による運動量拡散、ρfは重力などの単位体積当たりの体積力です。,,,,
71,c094,A,past,1,熱力学・伝熱,流れている系で内部エネルギーに対応してよく用いる状態量は何ですか？,エンタルピーです。流動仕事pvを内部エネルギーに加えた h=u+pv を用いると、開放系のエネルギー収支を表しやすくなります。,h=u+pv,,,
72,c095,A,past,1,熱力学・伝熱,フーリエの法則とは何ですか？,熱伝導による熱流束は温度勾配に比例し、高温側から低温側へ流れることを表す法則です。,q=−k∇T  （1次元: Q̇=−kA dT/dx）,,,
73,c017,A,past,1,統計,統計的な有意差とは何ですか？,帰無仮説のもとでは観測結果以上の差が生じにくいと判断され、設定した有意水準よりp値が小さい状態です。効果が大きい、実用上重要という意味とは限りません。,p < α,,,
74,c018,A,past,1,統計,有意水準とは何ですか？,帰無仮説が正しいのに誤って棄却する第一種過誤を許容する確率の上限です。一般に5%などを事前に設定します。,α=P(帰無仮説を棄却 | 帰無仮説が真),,,
75,c116,A,past,1,自分の経験,学部で行った実験を1分で説明してください。,目的、装置、測定量、解析方法、結果、考察の順で説明します。例：スターリングエンジンの回転数・トルク等を測定し、出力や効率を評価した、というように自分の実験へ置き換えます。,,装置図を頭の中で説明できるよう、センサ名・サンプリング周期・誤差要因も準備します。,,
76,c081,A,past,1,計測・信号処理,同期検波とは何ですか？,既知の基準信号と同じ周波数・位相の信号を測定信号に掛け、低域通過させることで、その周波数成分だけを高感度に取り出す方法です。ロックインアンプの原理です。,x(t)×cos(ω₀t) → LPF,,,同期検定ってわかる？
77,c083,A,past,1,計測・信号処理,ローパスフィルタとハイパスフィルタを説明してください。,ローパスフィルタは低周波成分を通し高周波成分を減衰させます。ハイパスフィルタは高周波成分を通し低周波成分を減衰させます。,,,,
78,c086,A,past,1,計測・信号処理,AD変換したデータから周波数成分を求めるにはどうしますか？,一定周期で標本化した時系列データに窓関数を適用し、DFTまたはFFTで周波数スペクトルを求めます。周波数分解能は観測時間、上限はナイキスト周波数で決まります。,Δf=f_s/N=1/T,,,
79,c136,A,past,1,計測・信号処理,サンプリング周期が10 msのとき、標本化周波数とナイキスト周波数はいくつですか？,標本化周期Tₛ=0.01 sなので、標本化周波数は100 Hz、ナイキスト周波数は50 Hzです。,"fₛ=1/Tₛ=100 Hz,  f_N=fₛ/2=50 Hz",,,
80,c131,A,added,1,ロボティクス,回転行列にはどのような性質がありますか？,回転行列Rは直交行列で、RᵀR=I、det R=1を満たします。逆行列は転置行列です。,"RᵀR=I, detR=1, R⁻¹=Rᵀ",,,
81,c124,A,added,1,制御,閉ループ伝達関数を答えてください。,負帰還で前向き伝達関数G(s)、フィードバックH(s)なら、目標値から出力への閉ループ伝達関数は G/(1+GH) です。,T(s)=G(s)/(1+G(s)H(s)),,,
82,c125,A,added,1,制御,状態方程式と固有値の関係を説明してください。,線形系 ẋ=Ax+Bu の自由応答はAの固有値で決まります。連続時間では全固有値の実部が負なら漸近安定です。,"ẋ=Ax+Bu,  y=Cx+Du",,,
83,c121,A,added,1,材料力学・設計,断面二次モーメントとは何ですか？,断面の面積が中立軸からどのように分布しているかを表し、梁の曲げにくさに関係する幾何学量です。材料特性ではありません。,"I=∫y²dA,  曲げ剛性=EI",,,
84,c122,A,added,1,材料力学・設計,梁の曲げ応力の式を答えてください。,オイラー・ベルヌーイ梁の線形曲げでは、中立軸から距離yの曲げ応力は σ=My/I です。,σ=My/I,,,
85,c123,A,added,1,材料力学・設計,梁のたわみに長さは何乗で効きますか？,荷重条件で異なりますが、代表的な片持ち梁の先端集中荷重ではL³、等分布荷重ではL⁴に比例します。式を条件とセットで覚えます。,"先端集中荷重: δ=PL³/(3EI), 等分布: δ=wL⁴/(8EI)",,,
86,c119,A,added,1,機械力学・振動,1自由度減衰振動系の運動方程式を書いてください。,質量m、粘性減衰c、ばね定数k、外力f(t)なら、運動方程式は m ẍ+c ẋ+kx=f(t) です。,m ẍ+c ẋ+kx=f(t),,,
87,c120,A,added,1,機械力学・振動,減衰比とは何ですか？,実際の粘性減衰係数cを臨界減衰係数c_cで割った無次元量です。ζ<1で不足減衰、ζ=1で臨界減衰、ζ>1で過減衰です。,ζ=c/c_c=c/(2√(mk)),,,
88,c129,A,added,1,熱力学・伝熱,熱力学第一法則を説明してください。,系の内部エネルギー変化は、系へ加えた熱から系が外部へした仕事を引いたものです。符号規約を明示します。,ΔU=Q−W（系がした仕事を正とする規約）,,,
89,c134,A,added,1,統計,p値とは何ですか？,帰無仮説が正しいと仮定したとき、観測された統計量以上に極端な結果が得られる確率です。帰無仮説が正しい確率ではありません。,,,,
90,c117,B,past,2,自分の経験,使ったことのあるプログラミング言語と用途を説明してください。,言語名だけでなく、何を入力し、どんな処理をし、何を出力したかを30秒で述べます。例：C/C++で数値計算や画像処理、Pythonで統計解析、C#とUnityでインタラクティブシステムを実装しました。,,,,
91,c049,B,past,1,FEM・数値解析,重み付き残差法とは何ですか？,近似解を微分方程式へ代入して生じる残差Rに重み関数wを掛け、領域全体で積分した値を0にすることで近似解を決める方法です。,∫Ω w R dΩ=0,,,
92,c050,B,past,1,FEM・数値解析,ガラーキン法とは何ですか？,重み付き残差法の一種で、重み関数に近似解で使う基底関数と同じ関数を選ぶ方法です。有限要素法の標準的な定式化に用いられます。,,,,
93,c051,B,past,1,FEM・数値解析,有限差分法と有限要素法の違いは何ですか？,有限差分法は微分を格子点間の差分で近似します。有限要素法は領域を要素分割し、弱形式と形状関数で場を近似するため、複雑形状や境界条件に対応しやすいです。,,,,
94,c054,B,past,1,FEM・数値解析,連続体力学とは何ですか？,物質を原子の集合ではなく、密度・変位・応力などが空間内で連続的に分布する媒体として扱い、保存則と構成則で変形や流動を記述する力学です。,,,,
95,c055,B,past,1,FEM・数値解析,トポロジー最適化とは何ですか？,設計領域内の材料配置そのものを設計変数とし、体積などの制約下で剛性最大化やコンプライアンス最小化を行う構造最適化です。,,,,
96,c100,B,past,1,HI・触覚・VR,触覚受容器は身体に一様に分布していますか？,一様ではありません。指先や口唇など識別能力が高い部位では受容器密度が高く受容野が小さく、背中などでは密度が低く受容野が大きい傾向があります。,,,,
97,c101,B,past,1,HI・触覚・VR,ファントムセンセーションとは何ですか？,皮膚上の離れた2点を適切な強度で同時刺激すると、その間の刺激していない位置にも単一の触覚が感じられる錯覚です。強度比を変えると知覚位置を移動できます。,,,,phantom sensationとは？
98,c102,B,past,1,HI・触覚・VR,VR、AR、MRの違いを説明してください。,VRは主に人工環境へ没入させます。ARは現実世界にデジタル情報を重畳します。MRは現実と仮想の物体が空間的に整合し、相互作用する複合環境を指します。,,,,
99,c103,B,past,1,HI・触覚・VR,運動主体感とは何ですか？,自分がある行為を起こし、その結果を生じさせているという主観的な感覚です。運動指令の予測と実際の感覚フィードバックの一致などが関係します。,,,,
100,c104,B,past,1,HI・触覚・VR,ラッセルの円環モデルとは何ですか？,感情を、快−不快の感情価と、覚醒−非覚醒の覚醒度という2軸上の円環として配置するモデルです。,,,,
101,c107,B,past,1,HI・触覚・VR,ベクションとは何ですか？,実際には身体が動いていないのに、広い視野の視覚運動によって自分が動いているように感じる自己運動感覚です。,,,,
102,c108,B,past,1,HI・触覚・VR,モーショントラッキングの原理を説明してください。,カメラ、IMU、外部マーカ、深度センサなどから位置・姿勢を推定します。VRではIMUの高周波な相対運動推定と、カメラの絶対位置補正をセンサフュージョンする方法が一般的です。,,,,
103,c072,B,past,1,制御,根軌跡法とは何ですか？,フィードバック系のゲインなどのパラメータを変えたとき、閉ループ極が複素平面上をどのように移動するかを描く方法です。,,,,
104,c074,B,past,1,制御,カットオフ周波数はどのように決めますか？,通したい信号帯域と除去したい雑音帯域、必要な応答速度を基に決めます。ボード線図や実測スペクトルを用い、減衰量・位相遅れとのトレードオフを確認します。,,,状態方程式を必ず同定しなければ決められないわけではありません。,
105,c109,B,past,1,医療・生体計測,ストレス反応を測定する手法を挙げてください。,主観評価に加え、心拍・心拍変動、皮膚電気活動、血圧、呼吸、瞳孔径、唾液コルチゾールや唾液アミラーゼ、脳波などがあります。,,交感神経・副交感神経、測定遅延、個人差を考慮します。,,
106,c111,B,past,1,情報・電子・物理,半導体とは何ですか？,電気伝導性が導体と絶縁体の中間にあり、温度・光・不純物添加などでキャリア濃度と導電率を大きく制御できる物質です。価電子帯と伝導帯の間に比較的小さなバンドギャップがあります。,,,,
107,c012,B,past,1,数学・微分方程式,特殊解とは何ですか？,一般解の任意定数を初期条件・境界条件で定めて得る特定の解、または非同次方程式に対する一つの特解を指します。文脈によって意味を確認します。,,,,
108,c013,B,past,1,数学・微分方程式,微分方程式の特異解とは何ですか？,微分方程式を満たすが、一般解の任意定数をどのように選んでも得られない解です。一般解の包絡線として現れることがあります。,,,,
109,c014,B,past,1,数学・微分方程式,代表的な微分方程式の型を挙げてください。,常微分方程式と偏微分方程式、線形と非線形、同次と非同次、階数による分類があります。一次線形、変数分離形、二階定係数線形方程式などが代表例です。,,,,
110,c006,B,past,1,数学・線形代数,基底ベクトルとは何ですか？,ベクトル空間を張り、かつ一次独立なベクトルの組です。空間内の任意のベクトルを、その基底の線形結合として一意に表せます。,,,,
